,ACALD,ACALDt,ACKr,ACONTa,ACONTb,ADK1,AKGDH,ATPM,ATPS4r,CS,CYTBD,ENO,FBA,FBP,FRUpts2,FUM,GAPD,GLNS,GLUDy,GLUN,GLUSy,GND,ICDHyr,ICL,MALS,ME1,PDH,PFK,PGI,PGK,PGL,PGM,PPC,PPCK,PPS,PTAr,PYK,RPI,SUCOAS,TALA,TKT1,TKT2
263,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
283,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
307,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,1,0,0,1,0,-1,0,1,0,1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
311,0,0,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,0,1,0,-1,0,0,0
313,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,-2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0
